School Year,County,IRN,District,Homeschool Students
2017-2018 School Year,Guernsey,123281,Ohio Valley ESC,<10
2017-2018 School Year,Seneca,049726,Old Fort Local,<10
2017-2018 School Year,Delaware,046763,Olentangy Local,261
2017-2018 School Year,Cuyahoga,046573,Olmsted Falls City,36
2017-2018 School Year,Richland,049478,Ontario Local,57
2017-2018 School Year,Cuyahoga,046581,Orange City,<10
2017-2018 School Year,Lucas,044602,Oregon City,<10
2017-2018 School Year,Wayne,044610,Orrville City,57
2017-2018 School Year,Stark,049916,Osnaburg Local,24
2017-2018 School Year,Wood,050724,Otsego Local,53
2017-2018 School Year,Lucas,048215,Ottawa Hills Local,<10
2017-2018 School Year,Putnam,049379,Ottawa-Glandorf Local,13
2017-2018 School Year,Putnam,049387,Ottoville Local,<10
2017-2018 School Year,Lake,044628,Painesville City Local,12
2017-2018 School Year,Ross,049510,Paint Valley Local,<10
2017-2018 School Year,Putnam,049395,Pandora-Gilboa Local,22
2017-2018 School Year,Mercer,048579,Parkway Local,27
2017-2018 School Year,Cuyahoga,044636,Parma City,167
2017-2018 School Year,Henry,047597,Patrick Henry Local,18
2017-2018 School Year,Paulding,045575,Paulding Exempted Village,63
2017-2018 School Year,Wood,051359,Penta Career Center - District,<10
2017-2018 School Year,Erie,046813,Perkins Local,20
2017-2018 School Year,Allen,045781,Perry Local,12
2017-2018 School Year,Lake,047902,Perry Local,18
2017-2018 School Year,Stark,049924,Perry Local,61
2017-2018 School Year,Wood,045583,Perrysburg Exempted Village,56
2017-2018 School Year,Fulton,047076,Pettisville Local,<10
2017-2018 School Year,Fairfield,046896,Pickerington Local,<10
2017-2018 School Year,Fulton,047084,Pike-Delta-York Local,56
2017-2018 School Year,Miami,044644,Piqua City,60
2017-2018 School Year,Stark,049932,Plain Local,145
2017-2018 School Year,Marion,048421,Pleasant Local,24
2017-2018 School Year,Richland,049460,Plymouth-Shiloh Local,13
2017-2018 School Year,Mahoning,048348,Poland Local,40
2017-2018 School Year,Ottawa,044651,Port Clinton City,10
2017-2018 School Year,Scioto,044669,Portsmouth City,33
2017-2018 School Year,Preble,049288,Preble Shawnee Local,92
2017-2018 School Year,Hamilton,044677,Princeton City,137
2017-2018 School Year,Ottawa,048975,Put-In-Bay Local,<10
2017-2018 School Year,Ashtabula,045880,Pymatuning Valley Local,33
2017-2018 School Year,Portage,044685,Ravenna City,42
2017-2018 School Year,Hamilton,044693,Reading Community City,16
2017-2018 School Year,Franklin,047001,Reynoldsburg City,128
2017-2018 School Year,Cuyahoga,046599,Richmond Heights Local,18
2017-2018 School Year,Marion,048439,Ridgedale Local,<10
2017-2018 School Year,Hardin,047506,Ridgemont Local,19
2017-2018 School Year,Coshocton,046474,Ridgewood Local,21
2017-2018 School Year,Brown,046078,Ripley-Union-Lewis-Huntington Local,<10
2017-2018 School Year,Wayne,045591,Rittman Exempted Village,28
2017-2018 School Year,Marion,048447,River Valley Local,16
2017-2018 School Year,Coshocton,046482,River View Local,143
2017-2018 School Year,Hancock,047514,Riverdale Local,39
2017-2018 School Year,Lake,047894,Riverside Local,79
2017-2018 School Year,Logan,048090,Riverside Local,20
